1,title,rating,author,amount_rate
,"The Housemaid Is Watching (The Housemaid, #3)
",3.88,Freida McFadden ,"569,165"
,How to Win at Chess: The Ultimate Guide for Beginners and Beyond,4.38,Levy Rozman,"1,036"
,"A Talent for Murder (Henry Kimball/Lily Kintner, #3)
",3.61,Peter Swanson ,"37,826"
,"The God and the Gumiho (Fate's Thread, #1)",4.07,Sophie Kim,"5,706"
,The Bright Sword,4.01,Lev Grossman ,"12,581"
,"The Pairing
",3.73, Casey McQuiston ,"30,078"
,"Priest (Priest, #1)",3.57, Sierra Simone,"199,060"
,"Real Americans
",3.99, Rachel Khong,"61,281"
,"The Fiancé Dilemma (Green Oak, #2)
",3.67, Elena Armas,"24,858"
,Beautyland,4.11,Marie-Helene Bertino ,"19,215"
,"The Fury
",3.36,Alex Michaelides ,"183,143"
,"Shadowplay (The Devils in D.C., #1)
",4.33,Angel M. Shaw ,150
,"Crimson Cobblestones
",4.63, Marie Lestrange ,68
,"Loud: Accept Nothing Less Than the Life You Deserve
",4.35,Drew Afualo,"17,299"
,"The Tainted Cup (Shadow of the Leviathan, #1)
",4.31,Robert Jackson Bennett,"32,608"
,The Examiner,3.82,Janice Hallett,"8,889"
,"Table for Two
",4.22,Amor Towles,"49,468"
,"The Will of the Many (Hierarchy, #1)
",4.62,James Islington ,"88,457"
,Behind You Is the Sea,4.1,Susan Muaddi Darraj ,"5,411"
,"At First Spite (Harlot's Bay, #1)
",3.77,Olivia Dade ,"10,624"
,"All Fours
",3.6,Miranda July,"95,979"
,"Supercommunicators: How to Unlock the Secret Language of Connection
",4.02,Charles Duhigg,"24,570"
,"Magnolia Parks: Into the Dark (Magnolia Parks Universe, #5)
",4.36,Jessa Hastings ,"45,824"
,All the Colors of the Dark,4.33, Chris Whitaker ,"221,297"
,"If Only I Had Told Her (If He Had Been with Me, #2)
",3.88,Laura Nowlin ,"134,512"
,"Anita de Monte Laughs Last
",3.81, Xóchitl González,"34,477"
,"The Ex Vows
",4.16,Jessica Joyce ,"36,95"
,"Throne of Secrets (Prince of Sin, #2)
",3.91, Kerri Maniscalco ,"16,654"
,"Grief Is for People
",3.87,Sloane Crosley ,"13,026"
,How to Date a Foreigner: A Proven Framework to Help You Navigate Cultural Differences in Dating,4.28, Sylvia Halter ,138
,Lady Macbeth,3.48, Ava Reid,"16,760"
,Butter,3.56, Asako Yuzuki,"45,312"
,This Summer Will Be Different,3.98, Carley Fortune,"250,500"
,"Emily Wilde’s Map of the Otherlands (Emily Wilde, #2)",4.29,Heather Fawcett,"66,343"
,"Ruthless Vows (Letters of Enchantment, #2)",4.01,Rebecca Ross,"324,551"
,The Reappearance of Rachel Price,4.1,Holly Jackson,"139,617"
,"Heartless Hunter (The Crimson Moth, #1)",4.19,Kristen Ciccarelli,"181,915"
